Id,Class,Text
0,General Question,$Well? $
1,Content Discussion,$Maier seems to have very definite opinions.$
2,Content Discussion,$He thinks highly of himself and his aesthetic.$
3,Content Discussion,$ I do think it was an error on the part of the reporter to begin the discussion with bringing up another designer.$
4,Content Discussion,$ Posen, in particular, seems drastically different from Maier.$
5,Content Discussion,$Posen has a flamboyancy that is in stark contrast to Maier's minimalist look.$
6,Content Discussion,$Maier would be frustrated and angry in 'wasting' his time focusing on someone outside of his design sensibility.$
7,Content Question,$Do we think that Maier will return, $
8,Content Question,$and we want to explore that part of the story? $
9,Content Question,$Or do we want to focus on the reporter's experience?$
10,Feedback,$Great questions, Michelle! $
11,Content Discussion,$Maier said he was going to return, but he’s such a jerk.$
12,Content Discussion,$We could stick with the reporter’s perspective.$
13,Content Question,$But don’t we have to decide if Maier comes back?$
14,Content Question,$How would the reporter even know how to get out of the building?$
15,Response,$Meg, I agree with what you said  $
16,Content Discussion,$about the reporter starting the discussion with mentioning another designer.$
17,Response,$ I also agree with you, Michelle, on focusing on the reporter's experience.$
18,General Comment,$ Had that been me, I'd be so nervous!$
19,Response,$As you said, Meg, $
20,Content Discussion,$Maier is a jerk and it's evident already!$
21,Content Discussion,$I feel like Maier is playing a cruel game on the reporter and this will probably turn into some kind of metaphor or lesson of sorts.$
22,General Comment,$It sounds like we are all in agreement overall. $
23,Assignment Instructions,$The assignment asks what happens next" $
24,Assignment Instructions,$& that the answer be tied to "design  in some way.""$
25,Assignment Instructions,$So, what are our options? $
26,Content Discussion,$ I can think of: A. Maier does not come back or Maier does come back $
27,Content Discussion,$(I'm leaning towards he comes back, since that's what he says he was going to do$
28,Content Discussion,$B: Maier is helpful and responsive or he is a jerk $
29,Content Discussion,$(I'm leaning towards him being a jerk, since that is what he is). $
30,Content Question,$ If Maier didn't come back, what would the reporter do?$
31,General Comment,$OK, guys. $
32,Logistics,$ I am starting a draft below$
33,Logistics,$Please update with your edits & inputs.$
34,Content Discussion,$Here's one way it could go!$
35,Feedback,$I like those changes!!$
36,General Comment,$I'm not sure how we should close out the story. $
37,Assignment Question,$Any ideas?$
38,Feedback,$Haha the new designs you just added to the story could be people in the nude! $
39,Content Discussion,$We could have Maier leave again but the narrator, who is now used to this charade, isn't worried;$
40,Content Discussion,$however, we could leave him in this minimalistic room for hours and hours. $
41,Content Discussion,$He could become extremely bored with nothing to do or look at.$
42,Content Discussion,$In the end, he could have the realization that minimalism isn't as great as Maier makes it out to be and could go on to sabotage the designer in some over-the-top stunt...$
43,General Comment,$Sorry that my two ideas were so disconnected…$
44,Logistics,$I pressed enter on accident and it submitted my response!$
45,Content Discussion,$So idea one is nude models and idea 2 is being locked in minimalism for way too long.$
46,Content Discussion,$But I am game for any other suggestions!$
47,General Comment,$(I really enjoy reading but cannot come up with a plot for the life of me! Haha)$
48,Feedback,$I like both of your ideas! $
49,Content Discussion,$It could be a funny way to end the story with him basically stripping $
50,Content Discussion,$(literally) $
51,Content Discussion,$away everything from his designs so that the models are nude$
52,Non-verbal,$LOL$
53,Feedback,$It's perfect! $
54,Feedback,$Good work Rachel!$
55,Logistics,$Added one more line. $
56,Discussion Wrap-up,$I'll mark it as Submitted!$
57,Content Discussion,$I think the system is looking for a "too busy" response because of the pattern on the jacket. $
58,Content Discussion,$ I also think that the collars of both the jacket and the shirt underneath it are too similar and would not lie down smoothly.$
59,Content Discussion,$I think the system is looking for a "too busy" response because of the pattern on the jacket. $
60,Content Discussion,$I also think that the collars of both the jacket and the shirt underneath it are too similar and would not lie down smoothly.$
61,Assignment Instructions,$I think we're supposed to come up with what happens next in the story.$
62,Logistics,$What do we want our button to do? $
63,Content Discussion,$I wrote something about a hidden door but I don't know what would be behind it.$
64,Content Discussion,$Another minimalist room $
65,Non-verbal,$lol$
66,Content Discussion,$Pretty bizarre situation$
67,Content Discussion,$kind of ominous,$
68,General Comment,$ buuuuut$
69,Response,$Oh wow! $
70,Response,$Just read below,$
71,Feedback,$ I love it!$
72,Feedback,$I love that!$
73,Content Discussion,$Thoughts on what happens next: Wow, I know that designers tend to be a bit quirky, but his guy is done right weird. Not only do I not know exactly how long I've been in here since he took my smart phone, I also have no foreseeable way out!$
74,Content Discussion,$ Wow, I know that designers tend to be a bit quirky, but his guy is done right weird.$
75,Content Discussion,$Not only do I not know exactly how long I've been in here since he took my smart phone, I also have no foreseeable way out!$
76,Content Discussion,$Wow, I know that designers tend to be a bit quirky, but his guy is done right weird. $
77,Content Discussion,$Not only do I not know exactly how long I've been in here since he took my smart phone, I also have no foreseeable way out!$
78,Content Discussion,$Did I offend him? $
79,Content Discussion,$He left right after I mentioned Zac Posen.$
80,Content Discussion,$Maybe he hates Zac Posen$
81,Content Discussion,$- or Target!?$
82,Content Discussion,$Who knows, this guy is an enigma.$
83,Content Discussion,$Just then, Maier walked back in - with none other than Zac Posen himself. $
84,Content Discussion,$I believe you two have met?" he said dryly.$
85,Content Discussion,$Hey  nice to see you again  said Posen. Mr. Po$
86,Logistics,$SUBMITTED$
87,Greeting,$Hello. $
88,Content Discussion,$My assumption is$
89,Content Discussion,$that the emphasis on barbarism implies that she sent him to the lion.$
90,Response,$I agree with Cassandra's noticing $
91,Content Discussion,$of the author's word choice of barbarism.$
92,Feedback,$I loved the addition of $
93,Content Discussion,$Her lover would die and never love another." $
94,Content Discussion,$ Sadly  the barbaric nature of the king and princess is still alive today in crimes of passion."$
95,Logistics,$Submitted$
96,Content Discussion,$If the princess possesses the same semi-barbaric trait as her father, then it would seem she directed her lover to the door with the tiger. $
97,Content Discussion,$Either way she must love without him, but is she open-hearted enough to allow for him to love another?$
98,Content Discussion,$It doesn't appear so. For instance, she discloses great agony, jealousy, and stress about the potential wedding between her lover and the lady behind the door;$
99,Content Discussion,$however, she only comments that a tiger would bring shrieks and blood. From her revealed thoughts, she is $
100,Incomplete/Typo,$mor$
101,Content Discussion,$more upset with the prospect of him belonging to another, and so it is clear,$
102,Content Discussion,$given the two terrible choices,$
103,Content Discussion,$she would send him to his death.$
104,Content Discussion,$If the King were to discover that his daughter broke the law by secretly sending her lover towards the door on the right$
105,Content Discussion,$he would have to send his daughter to the arena for a judgement. $
106,Content Discussion,$I would imagine,$
107,Content Discussion,$given that it is stressed he is semi-barbaric, he would choose not to send his daughter, whom he loves so dearly, to her potential death.$
108,Content Discussion,$However, I also do not$
109,Incomplete/Typo,$ima$
110,Content Discussion,$imagine this to be the catalyst that ends his idea of public punishment. $
111,Content Discussion,$Perhaps, instead of sending his daughter to the arena, he would send the person who gave her the information about the two doors instead.$
112,Content Discussion,$ It could be argued that the informant is more guilty than the princess and is sent to show the kingdom the consequence of such behaviors.$
113,General Comment,$(Sorry it came out as three separate messages! For some reason, it wouldn't post my full response at once.)$
114,Response,$I agree with Ashely $
115,Content Discussion,$ that the Princess's barbaric traits will lead the princess to send her lover to his death.$
116,Content Discussion,$She exhibits immaturity and cruelty by fixating on imagined flirtations between "the lady" and the princess's lover.$
117,Content Discussion,$The story also leads me to think that she is accustomed to having her every wish granted by her father and that she never learned the benefits of compassion.$
118,Response,$I also agree with Ashley$
119,Content Discussion,$that the king's adoration of his daughter would stop him from sending his daughter into the arena.$
120,Content Discussion,$I had orgininally thought that the king would either keep her secret out of love for his daughter, or out of barbaric pride that she sent her lover to his grizzly death, or a combination of the two. $
121,Content Discussion,$If the secret was shared with the community, I also think that it would be her informant that would be punished.$
122,Content Discussion,$I had not considered Ashley's idea that this experience might be an $
123,Incomplete/Typo,$opportun$
124,Content Discussion,$I had not considered Ashley's idea that this experience might be an opportunity for the king to re-examine the practice.$
125,Feedback,$ I like this idea!$
126,Assignment Instructions,$The more I think about this activity, the more I wonder if we are supposed to be collaboratively writing an end to the story. $
127,Instruction Question,$Perhaps the top of this page (where we type and send messages) is for planning and the bottom (open white area) is for writing an end to the story? $
128,General Comment,$I'm overall a little confused by this entire module $
129,General Comment,$and am open to other thoughts/suggestions.$
130,Response,$I think you are correct, Ashley. $
131,Logistics,$I thought we could all answer the questions in the messaging area (like you & I did), then we can take turns drafting a group response$
132,Logistics,$I could write the first draft based on my interpretation of our answers, then we could take turns editing - round robin style until we are happy with the result$
133,Assignment Question,$What were your thoughts?$
134,Feedback,$That sounds great, Meg! $
135,Response,$Thanks for taking the lead on the first draft$
136,Logistics,$I’ll check in soon and add to it $
137,Emoticon/Non-verbal,$👍$
138,Logistics,$SUBMITTED$
139,Opening statement,$I am late to the discussion $
140,Logistics,$but I figured I might as well add to this$
141,Response,$because while I agree with the first part said$
142,Content Discussion,$ I have to say, the line of thinking is still technically flawed.$
143,Content Discussion,$Just because she comes from a semi-barbaric King does not make her semi-barbaric. $
144,Content Discussion,$Love does have a way of changing how we think and make valuable decisions like this one$
145,Content Discussion,$While Jealousy is a strong determinate, Love is often stronger, and it would make sense to allow her lover to live out of love just as much as it would make$
146,Incomplete/Typo,$s$
147,Content Discussion,$make sense to allow her lover to live out of love just as much as it would make sense for her to have him killed. $
148,Content Discussion,$Basing a decision on her lineage is not exactly a strong source in my opinion.$
149,Content Discussion,$However, basing a decision on her own thought process, that I can get behind$
150,Content Discussion,$and Meg brought and interesting topic of the difference between how the princess rambles on about him opening the door with the lady but barely mentions him opening the door with the tiger.$
151,Content Discussion,$The princess has no qualms about her lover dying but$
152,Content Discussion,$had great grief over her lover in another’s arms.$
153,Content Discussion,$As for the second part, only her lover saw her give the signal so the second part is questionable as it would be based on hearsay. $
154,Content Question,$ Would the king even entertain that idea given it is his daughter?$
155,Content Question,$Who knows? $
156,Content Discussion,$Without someone seeing her give the signal, they really cannot accuse her of helping him$
157,Content Discussion,$Not to mention that if she had not helped him at all, and he opened the door with the female, would she still be under scrutiny?$
158,Content Question,$What would happen then?$
159,Incomplete/Typo,$uwgyeu$
160,Content Discussion,$Part 1: For this question, our team decided that the princess chose the door with the tiger. $
161,Content Discussion,$This is based on the story's emphasis on the royal family's semi barbaric" nature.$
162,Content Discussion,$ In the story  it is mentioned several times that the princess is jealous of the idea of her lover being with another woman  stating "her soul had burned in agony when he rushed to meet that woman" (pp. 10).$
163,Content Discussion,$This action seems indicitive of her barbaric and jealous nature because this way she remains the conquerer  and if she cannot$
164,Incomplete/Typo,$ha"$
165,Content Question,$What do you guys think? $
